web-scraper-order,web-scraper-start-url,companyName,industry,marketCap
"1700801043-4275","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Unilever Ltd.
                                            HINDUNILVR","Personal Products","₹592097 Crs"
"1700801043-4276","https://www.etmoney.com/stocks/list-of-stocks","Hindustan Zinc Ltd.
                                            HINDZINC","Non Ferrous Metals","₹127182.1 Crs"
"1700801043-4277","https://www.etmoney.com/stocks/list-of-stocks","Hindusthan National Glass & Industries Ltd.
                                            HINDNATGLS","Packaging","₹143.29 Crs"
"1700801043-4278","https://www.etmoney.com/stocks/list-of-stocks","Hindware Home Innovation Ltd.
                                            HINDWAREAP","Home Furnishing","₹3846.17 Crs"
"1700801043-4279","https://www.etmoney.com/stocks/list-of-stocks","Hisar Metal Industries Ltd.
                                            HISARMETAL","Iron & Steel","₹106.38 Crs"
"1700801043-4280","https://www.etmoney.com/stocks/list-of-stocks","Hitachi Energy India Ltd.
                                            POWERINDIA","Heavy Electrical Equipment","₹20478.83 Crs"
"1700801043-4281","https://www.etmoney.com/stocks/list-of-stocks","Hitech Corporation Ltd.
                                            HITECHCORP","Packaging","₹489.51 Crs"
"1700801043-4282","https://www.etmoney.com/stocks/list-of-stocks","Home First Finance Company India Ltd.
                                            HOMEFIRST","Housing Finance","₹7733.39 Crs"
"1700801043-4283","https://www.etmoney.com/stocks/list-of-stocks","Honasa Consumer Ltd.
                                            HONASA","Credit Rating Agencies","₹13642.06 Crs"
"1700801043-4284","https://www.etmoney.com/stocks/list-of-stocks","Honda India Power Products Ltd.
                                            HONDAPOWER","Industrial Machinery, Equipment & Goods","₹2534.75 Crs"
"1700801043-4285","https://www.etmoney.com/stocks/list-of-stocks","Honeywell Automation India Ltd.
                                            HONAUT","Electronics - Equipment/components","₹32500.55 Crs"
"1700801043-4286","https://www.etmoney.com/stocks/list-of-stocks","Housing Development & Infrastructure Ltd.
                                            HDIL","Real Estate","₹142.2 Crs"
"1700801043-4287","https://www.etmoney.com/stocks/list-of-stocks","Housing Development Finance Corporation Ltd.
                                            HDFC","Housing Finance","₹504328.57 Crs"
